Result overview

Test: 08-27 Slide 4
Slide(s): Slide 1

(All Participants compared to Examiner)

Participant;WBC agreement [%];RBC agreement [%];
User 10 ;89.2;50.0;
User 11 ;93.3;63.6;
User 12 ;94.2;100.0;
User 13 ;82.5;47.8;
User 14 ;86.7;63.6;
User 15 ;85.0;80.0;
User 16 ;93.3;71.4;
User 17 ;90.0;59.4;
User 18 ;66.7;30.4;
User 19 ;65.8;60.9;
User 2 ;87.5;62.5;
User 20 ;92.5;43.5;
User 21 ;83.3;64.3;
User 22 ;94.2;60.0;
User 23 ;85.0;60.0;
User 24 ;90.0;80.0;
User 26 ;91.7;72.7;
User 3 ;90.8;63.6;
User 4 ;78.3;62.5;
User 5 ;85.8;46.9;
User 6 ;95.8;65.0;
User 7 ;70.8;65.0;
User 8 ;92.5;64.3;
User 9 ;89.2;100.0;

Average;86;64;
Lowest;66;30;
Highest;96;100;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You 
User 1 
User 25 

CellaVision Proficiency Software
