WBC agreement

Test: 08-27 Slide 4
Slide(s): Slide 1

(All Participants compared to Examiner)

Cell class;Examiner;;;User 2;;;User 3;;;User 4;;;User 5;;;User 6;;;User 7;;;User 8;;;User 9;;;User 10;;;User 11;;;User 12;;;User 13;;;User 14;;;User 15;;;User 16;;;User 17;;;User 18;;;User 19;;;User 20;;;User 21;;;User 22;;;User 23;;;User 24;;;User 26;;;Group;;
;Count number;Count percentage;Examiner comment for "Slide 1";Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Average count number;Average percentage;
Band neutrophil;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;;;;2;0;1.67;;;;;;;2;0;1.67;;;;;;;;;;;;;11;0;9.17;1;0;0.83;;;;;;;;;;2;0;1.67;1;0;0.83;;;;0.83;0.69;
Segmented neutrophil;53;44.17;;54;53;45.00;51;51;42.50;52;52;43.33;52;51;43.33;52;52;43.33;36;36;30.00;53;53;44.17;51;51;42.50;50;50;41.67;53;53;44.17;53;53;44.17;52;51;43.33;52;52;43.33;58;52;48.33;50;50;41.67;52;52;43.33;42;42;35.00;50;50;41.67;52;52;43.33;54;53;45.00;53;53;44.17;51;51;42.50;49;49;40.83;52;52;43.33;51.00;42.50;
Eosinophil;1;0.83;;;;;2;1;1.67;1;1;0.83;1;1;0.83;1;1;0.83;11;1;9.17;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;;;;1;1;0.83;1;1;0.83;;;;1;1;0.83;1;1;0.83;1;1;0.83;1;1;0.83;1.33;1.11;
Basophil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.03;
Lymphocyte;30;25.00;;30;25;25.00;29;26;24.17;20;18;16.67;23;21;19.17;33;30;27.50;18;16;15.00;33;28;27.50;28;26;23.33;31;28;25.83;36;30;30.00;33;29;27.50;40;29;33.33;24;22;20.00;30;25;25.00;31;28;25.83;32;28;26.67;17;17;14.17;1;0;0.83;33;28;27.50;37;28;30.83;34;29;28.33;27;25;22.50;33;30;27.50;32;29;26.67;28.54;23.78;
Monocyte;17;14.17;;20;14;16.67;21;17;17.50;29;16;24.17;22;16;18.33;17;17;14.17;37;17;30.83;17;15;14.17;23;17;19.17;18;16;15.00;14;14;11.67;16;15;13.33;9;8;7.50;26;17;21.67;12;11;10.00;21;17;17.50;16;15;13.33;29;17;24.17;44;16;36.67;17;15;14.17;10;10;8.33;16;15;13.33;19;14;15.83;19;16;15.83;16;15;13.33;20.33;16.94;
Promyelocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;;;;;;;;;;;;;;;;0.04;0.03;
Myelocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;1;0;0.83;;;;;;;;;;1;0;0.83;0.13;0.10;
Metamyelocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;1.67;;;;;;;;;;;;;;;;;;;0.08;0.07;
Promonocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;;;;;;;;;;0.04;0.03;
Prolymphocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blast;;;;;;;;;;;;;3;0;2.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;0.10;
Lymphocyte, variant form;1;0.83;;1;0;0.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.03;
Reactive lymphocyte;;;;;;;;;;1;0;0.83;2;0;1.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;;;;;;;;;;;;;2;0;1.67;;;;;;;0.25;0.21;
Abnormal lymphocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plasma cell;;;;;;;;;;;;;1;0;0.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.03;
Large granular lymphocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.83;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.03;
Hairy cell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sézary cell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other;;;;;;;;;;;;;2;0;1.67;;;;;;;;;;;;;;;;2;0;1.67;;;;1;0;0.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21;0.17;
Nucleated RBC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Giant thrombocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thrombocyte aggregation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
