RBC results

Test: 09-08, 10, 15 CV S2
Slide(s): Slide 1

(All Participants compared to Examiner)

Morphology;Examiner;User 2 ;;User 3 ;;User 4 ;;User 5 ;;User 6 ;;User 7 ;;User 8 ;;User 9 ;;User 10 ;;User 11 ;;User 12 ;;User 13 ;;User 14 ;;User 15 ;;User 16 ;;User 17 ;;User 18 ;;User 19 ;;User 20 ;;User 21 ;;User 22 ;;User 23 ;;User 24 ;;User 25 ;;User 26 ;;
;Characterization degree;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;Characterization degree;Deviation;
Polychromasia;2;0;2;2;0;2;0;2;0;3;1;2;0;1;1;3;1;0;2;2;0;3;1;1;1;0;2;2;0;2;0;3;1;2;0;1;1;3;1;2;0;3;1;2;0;2;0;0;2;2;0;
Hypochromasia;0;2;2;0;0;2;2;3;3;2;2;0;0;0;0;1;1;3;3;2;2;1;1;2;2;2;2;1;1;1;1;0;0;0;0;2;2;0;0;1;1;1;1;0;0;1;1;0;0;0;0;
Anisocytosis;2;3;1;2;0;3;1;3;1;2;0;0;2;2;0;2;0;0;2;2;0;0;2;2;0;0;2;3;1;1;1;2;0;0;2;1;1;2;0;2;0;3;1;2;0;3;1;0;2;2;0;
Microcytosis;0;3;3;1;1;2;2;2;2;1;1;0;0;1;1;2;2;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;
Macrocytosis;2;0;2;2;0;1;1;1;1;0;2;0;2;1;1;2;0;1;1;1;1;0;2;0;2;0;2;2;0;0;2;3;1;2;0;0;2;1;1;1;1;3;1;2;0;2;0;0;2;1;1;
Poikilocytosis;3;3;0;3;0;2;1;3;0;1;2;2;1;0;3;2;1;1;2;2;1;0;3;0;3;0;3;2;1;1;2;0;3;1;2;0;3;0;3;3;0;0;3;1;2;3;0;0;3;1;2;
Target cells;2;0;2;2;0;0;2;0;2;1;1;2;0;0;2;1;1;0;2;0;2;0;2;1;1;2;0;2;0;1;1;0;2;0;2;1;1;0;2;2;0;0;2;1;1;1;1;0;2;1;1;
Schistocytosis;0;0;0;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;0;0;1;1;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;
Helmet cells;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;
