Result overview

Test: 09-26, 29, 10-01, 06 Lab
Slide(s): Slide 3

(All Participants compared to Examiner)

Participant;WBC agreement [%];RBC agreement [%];
User 10 ;79.0;66.7;
User 11 ;58.1;66.7;
User 12 ;58.1;66.7;
User 13 ;59.0;58.3;
User 14 ;61.0;66.7;
User 15 ;55.2;66.7;
User 16 ;82.9;76.2;
User 17 ;71.4;50.0;
User 18 ;60.0;33.3;
User 19 ;52.4;61.9;
User 2 ;50.5;55.6;
User 20 ;55.2;53.3;
User 21 ;58.1;66.7;
User 22 ;56.2;66.7;
User 23 ;86.7;66.7;
User 24 ;56.2;66.7;
User 25 ;60.0;33.3;
User 26 ;87.6;83.3;
User 3 ;29.5;75.0;
User 4 ;33.3;66.7;
User 5 ;57.1;66.7;
User 6 ;31.4;73.3;
User 7 ;52.4;72.2;
User 8 ;60.0;66.7;
User 9 ;81.9;66.7;

Average;60;64;
Lowest;30;33;
Highest;88;83;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You 
User 1 

CellaVision Proficiency Software
