WBC agreement

Test: 09-26, 29, 10-01, 06 Lab
Slide(s): Slide 3

(All Participants compared to Examiner)

Cell class;Examiner;;;User 2;;;User 3;;;User 4;;;User 5;;;User 6;;;User 7;;;User 8;;;User 9;;;User 10;;;User 11;;;User 12;;;User 13;;;User 14;;;User 15;;;User 16;;;User 17;;;User 18;;;User 19;;;User 20;;;User 21;;;User 22;;;User 23;;;User 24;;;User 25;;;User 26;;;Group;;
;Count number;Count percentage;Examiner comment for "Slide 3";Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Count number;Agreement number;Count percentage;Average count number;Average percentage;
Band neutrophil;3;2.86;;3;2;2.86;2;2;1.90;2;2;1.90;4;2;3.81;2;2;1.90;1;1;0.95;1;1;0.95;1;1;0.95;2;2;1.90;1;1;0.95;1;1;0.95;2;2;1.90;2;2;1.90;3;3;2.86;4;3;3.81;2;2;1.90;2;2;1.90;2;1;1.90;1;1;0.95;2;2;1.90;1;1;0.95;4;3;3.81;3;2;2.86;3;2;2.86;2;2;1.90;2.12;2.02;
Segmented neutrophil;2;1.90;;4;2;3.81;4;2;3.81;4;2;3.81;4;2;3.81;3;2;2.86;5;2;4.76;5;2;4.76;4;2;3.81;4;2;3.81;4;2;3.81;4;2;3.81;4;2;3.81;3;2;2.86;2;2;1.90;3;2;2.86;2;2;1.90;3;2;2.86;4;2;3.81;6;2;5.71;3;1;2.86;4;2;3.81;3;2;2.86;4;2;3.81;4;2;3.81;4;2;3.81;3.76;3.58;
Eosinophil;3;2.86;;;;;1;1;0.95;1;1;0.95;;;;3;2;2.86;;;;;;;1;0;0.95;;;;2;2;1.90;2;2;1.90;1;1;0.95;2;2;1.90;2;2;1.90;;;;2;2;1.90;1;0;0.95;1;1;0.95;;;;2;1;1.90;2;1;1.90;;;;;;;;;;1;1;0.95;0.96;0.91;
Basophil;1;0.95;;1;1;0.95;1;1;0.95;;;;1;1;0.95;;;;2;1;1.90;2;1;1.90;1;0;0.95;2;1;1.90;;;;;;;1;1;0.95;1;1;0.95;;;;;;;;;;;;;2;1;1.90;1;1;0.95;1;1;0.95;;;;1;1;0.95;;;;1;1;0.95;1;1;0.95;0.76;0.72;
Lymphocyte;56;53.33;;49;48;46.67;2;2;1.90;25;25;23.81;53;51;50.48;22;22;20.95;56;46;53.33;60;56;57.14;55;52;52.38;51;49;48.57;60;55;57.14;57;55;54.29;57;51;54.29;55;53;52.38;50;47;47.62;49;48;46.67;42;42;40.00;60;55;57.14;50;49;47.62;48;48;45.71;85;55;80.95;47;47;44.76;60;55;57.14;88;54;83.81;50;49;47.62;57;54;54.29;51.52;49.07;
Monocyte;4;3.81;;1;0;0.95;;;;46;4;43.81;18;3;17.14;36;4;34.29;26;3;24.76;;;;;;;4;0;3.81;;;;;;;38;4;36.19;35;3;33.33;23;3;21.90;;;;12;3;11.43;15;4;14.29;11;1;10.48;;;;6;1;5.71;39;4;37.14;;;;1;0;0.95;;;;;;;12.44;11.85;
Promyelocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;0;5.71;;;;;;;;;;;;;6;0;5.71;5;0;4.76;;;;;;;;;;11;0;10.48;;;;;;;;;;4;0;3.81;31;0;29.52;;;;2.52;2.40;
Myelocyte;;;;1;0;0.95;;;;;;;;;;;;;5;0;4.76;2;0;1.90;;;;;;;;;;;;;;;;3;0;2.86;7;0;6.67;;;;1;0;0.95;21;0;20.00;;;;29;0;27.62;1;0;0.95;3;0;2.86;;;;;;;;;;;;;2.92;2.78;
Metamyelocyte;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;1;0;0.95;5;0;4.76;;;;1;0;0.95;;;;;;;2;0;1.90;;;;;;;;;;2;0;1.90;;;;;;;0.48;0.46;
Promonocyte;;;;;;;8;0;7.62;;;;21;0;20.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;1.90;;;;;;;;;;;;;;;;;;;;;;;;;1.24;1.18;
Prolymphocyte;;;;45;0;42.86;13;0;12.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;34;0;32.38;;;;;;;;;;;;;;;;;;;;;;3.72;3.54;
Blast;34;32.38;;;;;26;23;24.76;;;;1;1;0.95;3;0;2.86;2;2;1.90;3;2;2.86;36;31;34.29;35;29;33.33;;;;;;;;;;1;0;0.95;4;0;3.81;41;33;39.05;33;24;31.43;;;;;;;6;6;5.71;;;;6;3;5.71;36;30;34.29;1;1;0.95;15;9;14.29;37;31;35.24;11.44;10.90;
Lymphocyte, variant form;;;;;;;;;;;;;;;;;;;;;;30;0;28.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.20;1.14;
Reactive lymphocyte;;;;;;;;;;;;;;;;33;0;31.43;7;0;6.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0;1.90;;;;;;;;;;;;;;;;1.68;1.60;
Abnormal lymphocyte;;;;;;;1;0;0.95;1;0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;0;6.67;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;0.40;0.38;
Plasma cell;;;;;;;1;0;0.95;;;;2;0;1.90;1;0;0.95;;;;;;;1;0;0.95;;;;35;0;33.33;38;0;36.19;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;1;0;0.95;3.24;3.09;
Large granular lymphocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hairy cell;;;;;;;45;0;42.86;22;0;20.95;;;;;;;;;;;;;4;0;3.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.84;2.70;
Sézary cell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nucleated RBC;1;0.95;;;;;;;;1;1;0.95;;;;1;1;0.95;;;;1;1;0.95;;;;;;;1;1;0.95;1;1;0.95;1;1;0.95;1;1;0.95;1;1;0.95;1;1;0.95;;;;;;;;;;;;;;;;1;1;0.95;;;;;;;;;;1;1;0.95;0.44;0.42;
Giant thrombocyte;1;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thrombocyte aggregation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Megakaryocyte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smudge cell;;;;;;;;;;2;0;1.90;;;;;;;;;;1;0;0.95;;;;;;;1;0;0.95;1;0;0.95;;;;;;;1;0;0.95;1;0;0.95;;;;;;;;;;;;;1;0;0.95;1;0;0.95;;;;1;0;0.95;;;;;;;0.40;0.38;
Artefact;;;;1;0;0.95;1;0;0.95;1;0;0.95;;;;1;0;0.95;1;0;0.95;;;;1;0;0.95;1;0;0.95;1;0;0.95;1;0;0.95;1;0;0.95;1;0;0.95;1;0;0.95;1;0;0.95;1;0;0.95;;;;;;;1;0;0.95;;;;1;0;0.95;1;0;0.95;1;0;0.95;;;;1;0;0.95;0.76;0.72;
Not classed;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;;;;0.08;0.08;
Abn WBC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;;;;;;;;;;;;;;;;1;0;0.95;;;;0.08;0.08;

The following participant(s) didn't sign the selected slides(s) and were excluded from the results:
You
User 1

CellaVision Proficiency Software;105;
